MR,H4,H27,u0_M,u0_R,u0_MR,u0_H4,u0_KDM5A,u0_H0,u0_PRC2,u0_H27,u0_KDM6A,u0_KMT
47.978,49.377,0.0,18.0,18.0,32.0,23.841850077379497,35.0,5.834534424454859,78.0,20.32361549816564,27.0,50.0
47.978,49.377,0.0,0.0,0.0,50.0,6.360308204853864,13.0,14.94151923676655,75.0,28.698172558379586,30.0,100.0
47.978,49.377,0.0,37.0,37.0,13.0,11.03175320662662,94.0,21.172041353636768,63.0,17.796205439736614,41.0,88.0
47.978,49.377,0.0,39.0,39.0,11.0,4.24132878184189,4.0,15.624452026377716,37.0,30.134219191780392,72.0,34.0
47.978,49.377,0.0,29.0,29.0,21.0,25.23369999185461,90.0,8.2793812426226,89.0,16.48691876552279,71.0,86.0
47.978,49.377,0.0,28.0,28.0,22.0,18.206829151678495,40.0,28.504253610740463,19.0,3.2889172375810407,43.0,6.0
47.978,49.377,0.0,44.0,44.0,6.0,11.819744143367402,0.0,12.148259758975684,47.0,26.03199609765691,65.0,38.0
47.978,49.377,0.0,39.0,39.0,11.0,1.3203736938885748,34.0,46.54222830184244,84.0,2.137398004268983,52.0,70.0
47.978,49.377,0.0,31.0,31.0,19.0,30.716221438680755,87.0,3.1504772710922335,28.0,16.133301290227013,92.0,20.0
47.978,49.377,0.0,16.0,16.0,34.0,17.844898841905657,5.0,12.463849734196682,66.0,19.69125142389766,16.0,54.0
47.978,49.377,0.0,2.0,2.0,48.0,11.728017020969581,13.0,14.703794655782854,49.0,23.568188323247565,87.0,91.0
47.978,49.377,0.0,14.0,14.0,36.0,45.75532707692645,34.0,3.9185115952004654,22.0,0.3261613278730904,25.0,95.0
47.978,49.377,0.0,9.0,9.0,41.0,20.78232236664682,43.0,6.152790750675574,61.0,23.06488688267761,27.0,49.0
47.978,49.377,0.0,35.0,35.0,15.0,23.70938038509403,15.0,19.25755844012196,99.0,7.033061174784007,47.0,41.0
47.978,49.377,0.0,30.0,30.0,20.0,23.349191805410307,76.0,1.466437693186599,71.0,25.184370501403095,2.0,25.0
47.978,49.377,0.0,16.0,16.0,34.0,14.489898103585599,96.0,30.020785571124808,96.0,5.489316325289593,92.0,40.0
47.978,49.377,0.0,47.0,47.0,3.0,14.629252183429662,83.0,17.156675059077756,0.0,18.214072757492584,10.0,58.0
47.978,49.377,0.0,17.0,17.0,33.0,14.80387165806875,55.0,15.60021080469354,17.0,19.595917537237703,50.0,67.0
47.978,49.377,0.0,33.0,33.0,17.0,10.694047960713087,51.0,23.9622984448845,56.0,15.343653594402411,35.0,43.0
47.978,49.377,0.0,3.0,3.0,47.0,20.782692324533844,27.0,24.9949583993382,26.0,4.2223492761279555,68.0,78.0
47.978,49.377,0.0,14.0,14.0,36.0,19.484831516344794,88.0,13.057203797082892,67.0,17.457964686572314,69.0,44.0
47.978,49.377,0.0,22.0,22.0,28.0,20.440807963394928,23.0,16.248072574597998,40.0,13.311119462007072,22.0,37.0
47.978,49.377,0.0,15.0,15.0,35.0,22.024364958069437,10.0,5.257348913833893,66.0,22.718286128096665,37.0,26.0
47.978,49.377,0.0,21.0,21.0,29.0,14.223617546620943,28.0,12.626725590755642,7.0,23.149656862623416,87.0,48.0
47.978,49.377,0.0,35.0,35.0,15.0,0.7056697591201969,66.0,38.28700115022044,20.0,11.007329090659361,38.0,24.0
47.978,49.377,0.0,8.0,8.0,42.0,16.3840989092184,4.0,16.611550607826533,56.0,17.004350482955058,90.0,55.0
47.978,49.377,0.0,5.0,5.0,45.0,21.810424514169096,91.0,9.114456330448553,20.0,19.075119155382353,3.0,75.0
47.978,49.377,0.0,9.0,9.0,41.0,20.637989555083934,30.0,8.381569482992441,2.0,20.98044096192363,84.0,76.0
47.978,49.377,0.0,22.0,22.0,28.0,8.737298794047572,45.0,25.04532201202067,53.0,16.21737919393176,2.0,50.0
47.978,49.377,0.0,46.0,46.0,4.0,7.378643447955365,10.0,21.61718040545984,37.0,21.0041761465848,87.0,2.0
47.978,49.377,0.0,17.0,17.0,33.0,3.3882021474807633,7.0,31.72841274088904,44.0,14.883385111630194,9.0,1.0
47.978,49.377,0.0,0.0,0.0,50.0,5.776100337897899,15.0,38.98287469927595,21.0,5.241024962826151,68.0,87.0
47.978,49.377,0.0,44.0,44.0,6.0,18.105902203827807,14.0,20.633879831254923,3.0,11.26021796491727,98.0,53.0
47.978,49.377,0.0,33.0,33.0,17.0,7.413354122292447,48.0,23.290366251828626,92.0,19.296279625878928,50.0,54.0
47.978,49.377,0.0,16.0,16.0,34.0,22.416069523412045,4.0,16.477423044108242,10.0,11.106507432479715,78.0,14.0
47.978,49.377,0.0,28.0,28.0,22.0,25.174840679082205,11.0,19.637477625795963,98.0,5.187681695121835,92.0,92.0
47.978,49.377,0.0,50.0,50.0,0.0,22.575458389848603,5.0,4.724246244042199,37.0,22.7002953661092,79.0,77.0
47.978,49.377,0.0,39.0,39.0,11.0,24.597276346441582,86.0,9.552946955789658,33.0,15.84977669776876,12.0,96.0
47.978,49.377,0.0,32.0,32.0,18.0,18.28897898703554,80.0,8.29528137284776,33.0,23.415739640116698,11.0,14.0
47.978,49.377,0.0,44.0,44.0,6.0,3.347661322377386,36.0,15.869806183937941,63.0,30.782532493684673,77.0,97.0
