MR,H4,H27,u0_R,u0_NR,u0_M,u0_MR,u0_H4,u0_KDM5A,u0_H0,u0_PRC2,u0_H27,u0_KDM6A,u0_KMT
498.355,43.538,0.001,33.0,500.0,483.0,17.0,14.696879232662917,85.0,26.67552391017974,100.0,8.62759685715734,0.0,10.0
498.355,43.538,0.001,29.0,500.0,479.0,21.0,19.396723079549567,18.0,26.195406785759904,27.0,4.407870134690528,24.0,32.0
498.355,43.538,0.001,49.0,500.0,499.0,1.0,20.103664461143897,88.0,17.84779902290566,0.0,12.048536515950438,91.0,36.0
498.355,43.538,0.001,19.0,500.0,469.0,31.0,11.009697416969694,62.0,19.381296591508036,25.0,19.609005991522267,79.0,48.0
498.355,43.538,0.001,23.0,500.0,473.0,27.0,11.2059834819818,29.0,35.17723522938178,89.0,3.6167812886364223,97.0,88.0
498.355,43.538,0.001,36.0,500.0,486.0,14.0,0.7317573639679648,9.0,29.665551546043147,29.0,19.602691089988888,14.0,4.0
498.355,43.538,0.001,15.0,500.0,465.0,35.0,21.975266746725136,42.0,23.419001871063163,65.0,4.6057313822117,78.0,27.0
498.355,43.538,0.001,34.0,500.0,484.0,16.0,18.84926444534526,93.0,13.851549451051437,73.0,17.299186103603308,99.0,28.0
498.355,43.538,0.001,41.0,500.0,491.0,9.0,14.172575551004492,23.0,16.917484744437893,16.0,18.90993970455761,33.0,28.0
498.355,43.538,0.001,5.0,500.0,455.0,45.0,11.38512763815572,34.0,21.631853870655494,74.0,16.983018491188783,82.0,88.0
498.355,43.538,0.001,21.0,500.0,471.0,29.0,3.9706922017310675,66.0,1.7812076690318925,97.0,44.248100129237045,81.0,67.0
498.355,43.538,0.001,29.0,500.0,479.0,21.0,3.6572223987995294,4.0,28.10761735036151,33.0,18.235160250838963,9.0,7.0
498.355,43.538,0.001,14.0,500.0,464.0,36.0,27.71392436358532,87.0,4.1009814527865265,96.0,18.18509418362816,32.0,20.0
498.355,43.538,0.001,25.0,500.0,475.0,25.0,17.163980997185465,82.0,27.995767024421454,44.0,4.840251978393076,45.0,68.0
498.355,43.538,0.001,41.0,500.0,491.0,9.0,14.68695199671436,15.0,27.28818968715163,99.0,8.024858316134008,2.0,31.0
498.355,43.538,0.001,36.0,500.0,486.0,14.0,19.373462015351404,81.0,13.339804679631378,40.0,17.28673330501722,40.0,55.0
498.355,43.538,0.001,14.0,500.0,464.0,36.0,2.169920834309037,17.0,23.293311829303022,70.0,24.536767336387943,58.0,51.0
498.355,43.538,0.001,21.0,500.0,471.0,29.0,26.419004088517223,49.0,20.882637097277605,8.0,2.698358814205175,46.0,24.0
498.355,43.538,0.001,20.0,500.0,470.0,30.0,26.208000036202144,82.0,17.87656668170351,99.0,5.915433282094349,4.0,2.0
498.355,43.538,0.001,44.0,500.0,494.0,6.0,14.416500157557369,44.0,17.292938452492397,68.0,18.29056138995023,34.0,80.0
498.355,43.538,0.001,5.0,500.0,455.0,45.0,27.233328036601385,37.0,19.76410754350186,18.0,3.002564419896753,36.0,21.0
498.355,43.538,0.001,23.0,500.0,473.0,27.0,19.25849143436869,25.0,27.11921221662494,62.0,3.622296349006369,95.0,38.0
498.355,43.538,0.001,0.0,500.0,450.0,50.0,10.831506785055975,79.0,16.533049348156993,52.0,22.635443866787032,43.0,65.0
498.355,43.538,0.001,47.0,500.0,497.0,3.0,24.168638337637873,14.0,6.7428195355195895,25.0,19.088542126842537,48.0,33.0
498.355,43.538,0.001,39.0,500.0,489.0,11.0,8.898185223123109,56.0,16.570662786911537,73.0,24.531151989965352,46.0,75.0
498.355,43.538,0.001,11.0,500.0,461.0,39.0,24.211986420156098,0.0,0.24394098243486118,22.0,25.54407259740904,32.0,89.0
498.355,43.538,0.001,47.0,500.0,497.0,3.0,6.383823183639806,60.0,13.307967572365293,72.0,30.308209243994902,66.0,60.0
